source_id,source_name,source_project_id,project_name,issuance_date,issued_quantity,credit_unit,methodology_name,durability,country,source_url
puro_earth,Puro Earth,816220,Truecoco Ghana Ltd,23 Jan 2026,1548.0,CORC,"Biochar, 2022",100+ years,Ghana,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",23 Jan 2026,6576.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,272514,Mast Wood Preserve MT1,22 Jan 2026,4277.0,CORC,Terrestrial Storage of Biomass,100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,832026,Karbonetiq Contrecoeur,31 Dec 2025,125.0,CORC,Carbonated Materials,1000+ years,Canada,https://registry.puro.earth/issuances
puro_earth,Puro Earth,452184,Walsenburg Facility,31 Dec 2025,104.0,CORC,Terrestrial Storage of Biomass,100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,712033,Carbon Hill,30 Dec 2025,361.0,CORC,"Biochar, 2022",100+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,727586,OBIO Rudshøgda,30 Dec 2025,845.0,CORC,"Biochar, 2022",100+ years,Norway,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",30 Dec 2025,7744.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",29 Dec 2025,12467.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,141608,NetZero-002-Lajinha,19 Dec 2025,1564.0,CORC,"Biochar, 2022",100+ years,Brazil,https://registry.puro.earth/issuances
puro_earth,Puro Earth,566645,NetZero-003-Brejetuba,19 Dec 2025,462.0,CORC,"Biochar, 2022",100+ years,Brazil,https://registry.puro.earth/issuances
puro_earth,Puro Earth,756292,Avonmouth Production Facility,19 Dec 2025,4714.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,625222,Leeds Production Facility,19 Dec 2025,2135.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,625222,Leeds Production Facility,19 Dec 2025,2723.0,CORC,Carbonated Materials,1000+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,607941,Fasera Biochar Plant 1,19 Dec 2025,142.0,CORC,"Biochar, 2022",100+ years,Australia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,686528,Applied Carbon – Terra,19 Dec 2025,768.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,353054,Gevo North Dakota,19 Dec 2025,29476.0,CORC,Geologically stored carbon,1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",19 Dec 2025,9408.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,244045,Wakefield Biochar Facility 2,17 Dec 2025,2567.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,939902,Wakefield Biochar Facility 3,17 Dec 2025,752.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,517437,Wakefield Biochar Facility 4,17 Dec 2025,915.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,583695,Carbonsate Project Namibia,15 Dec 2025,799.0,CORC,Terrestrial Storage of Biomass,100+ years,Namibia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,226049,Farm Gai Kaisa 159,15 Dec 2025,3144.0,CORC,"Biochar, 2022",100+ years,Namibia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,477900,Fasera TSB Facility 1,15 Dec 2025,1583.0,CORC,Terrestrial Storage of Biomass,100+ years,Australia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,320449,Joanna,12 Dec 2025,16527.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,816220,Truecoco Ghana Ltd,11 Dec 2025,942.0,CORC,"Biochar, 2022",100+ years,Ghana,https://registry.puro.earth/issuances
puro_earth,Puro Earth,133206,"Freres Lumber Co., Inc.",10 Dec 2025,4026.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,680422,Brodie Biomass,09 Dec 2025,1416.0,CORC,"Biochar, 2022",100+ years,United Kingdom,https://registry.puro.earth/issuances
puro_earth,Puro Earth,203380,Lithos Carbon US Southeast ERW Deployment,05 Dec 2025,2361.0,CORC,"Enhanced Rock Weathering, 2022",1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",05 Dec 2025,12380.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,631817,Orca plant,05 Dec 2025,357.0,CORC,Geologically stored carbon,1000+ years,Iceland,https://registry.puro.earth/issuances
puro_earth,Puro Earth,417791,Mammoth,04 Dec 2025,278.0,CORC,"Geologically stored carbon, 2024",1000+ years,Iceland,https://registry.puro.earth/issuances
puro_earth,Puro Earth,782763,Lithos Mid-Atlantic Facility,03 Dec 2025,2146.0,CORC,"Enhanced Rock Weathering, 2022",1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,606367,Lithos Mid-West Facility,03 Dec 2025,2362.0,CORC,"Enhanced Rock Weathering, 2022",1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,203380,Lithos Carbon US Southeast ERW Deployment,03 Dec 2025,652.0,CORC,"Enhanced Rock Weathering, 2022",1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,470748,"ReGenerate Livermore Falls, LLC",02 Dec 2025,1745.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,226049,Farm Gai Kaisa 159,01 Dec 2025,1566.0,CORC,"Biochar, 2022",100+ years,Namibia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,175613,Aperam BioEnergia,01 Dec 2025,16191.0,CORC,"Biochar, 2022",100+ years,Brazil,https://registry.puro.earth/issuances
puro_earth,Puro Earth,353054,Gevo North Dakota,28 Nov 2025,42631.0,CORC,Geologically stored carbon,1000+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,753518,Oregon Biochar Solutions,26 Nov 2025,6926.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",26 Nov 2025,8701.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,292788,"Exomad Green, Riberalta",19 Nov 2025,16390.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,511285,"Carbon Cycle, 001, Rieden, DE",14 Nov 2025,165.0,CORC,"Biochar, 2022",100+ years,Germany,https://registry.puro.earth/issuances
puro_earth,Puro Earth,432524,"Exomad Green, Concepción",14 Nov 2025,10503.0,CORC,"Biochar, 2022",100+ years,Bolivia,https://registry.puro.earth/issuances
puro_earth,Puro Earth,517437,Wakefield Biochar Facility 4,11 Nov 2025,3272.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
puro_earth,Puro Earth,939902,Wakefield Biochar Facility 3,11 Nov 2025,770.0,CORC,"Biochar, 2022",100+ years,United States,https://registry.puro.earth/issuances
