source_id,source_name,methodology_name,methodology_code,source_project_id,project_name,country,project_url
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13188,ETG Live Better Improved Cookstove,Kenya,https://registry.goldstandard.org/projects/details/13188
gold_standard,Gold Standard,AMS-III.C. Emission reductions by electric and hybrid vehicles,,13105,Zeno Moto Electric Mobility in Kenya,Kenya,https://registry.goldstandard.org/projects/details/13105
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,23195,Sustainable Clean Energy Program (SCENE) VPA1,Uganda,https://registry.goldstandard.org/projects/details/23195
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,23194,Sustainable Clean Energy Program (SCENE),Uganda,https://registry.goldstandard.org/projects/details/23194
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23192,PoA Sustainable Landscapes and Forests Initiatives,Benin,https://registry.goldstandard.org/projects/details/23192
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23191,AGROFORESTRY – CLIMATE PROOFING FARM LIVELIHOODS BY INFOSYS,India,https://registry.goldstandard.org/projects/details/23191
gold_standard,Gold Standard,AMS-III.BM: Lightweight two and three wheeled personal transportation version 1.0,,23190,GS11329 VPA-2 Beam Mobility- Micromobility VPA in Republic of Korea,Korea Republic of,https://registry.goldstandard.org/projects/details/23190
gold_standard,Gold Standard,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",,23189,Koalisation community based clean cooking program,Zambia,https://registry.goldstandard.org/projects/details/23189
gold_standard,Gold Standard,AMS-III.BA Recovery and recycling of materials from E-waste,,12952,FPD Robotic E-Waste Recycling eLoop US,United States,https://registry.goldstandard.org/projects/details/12952
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13141,Green ICS Bangladesh,Bangladesh,https://registry.goldstandard.org/projects/details/13141
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,23187,GS12239 GS12240 RVPA-1 Amazi Meza Rwanda Water Supply Project For Schools,Rwanda,https://registry.goldstandard.org/projects/details/23187
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,23184,Landfill biogas extraction and combustion plant in El Inga I and II landfill (Quito Ecuador),Ecuador,https://registry.goldstandard.org/projects/details/23184
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,23182,AquaCarbon Safe Water,Ghana,https://registry.goldstandard.org/projects/details/23182
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23142,Morobe Markham Reforestation Project,Papua New Guinea,https://registry.goldstandard.org/projects/details/23142
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23178,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,Colombia,https://registry.goldstandard.org/projects/details/23178
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,13064,Uganda Green Cloud Improved Cookstove Project,Uganda,https://registry.goldstandard.org/projects/details/13064
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,12901,Tanzania Jiko Pamoja Improved Cookstove Project,Tanzania United Republic of,https://registry.goldstandard.org/projects/details/12901
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,12796,Laos Green Benefit Cookstove Project,Lao People's Democratic Republic,https://registry.goldstandard.org/projects/details/12796
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13144,GS13143 VPA-1 Democratic Republic of the Congo Asili Mazingira Bora Safe Water,Congo the Democratic Republic of the,https://registry.goldstandard.org/projects/details/13144
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13143,Asili Mazingira Bora Safe Water,Congo the Democratic Republic of the,https://registry.goldstandard.org/projects/details/13143
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,13084,Masdar IPH Wind S.A.E. Ras Ghareb Onshore 200 MW Wind Farm,Egypt,https://registry.goldstandard.org/projects/details/13084
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,23167,GS12382 GS12383 BVPA 09 Improved agricultural practices for rice cultivation in West Bengal,India,https://registry.goldstandard.org/projects/details/23167
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,23156,Improved Rice Cultivation in Bangladesh,Bangladesh,https://registry.goldstandard.org/projects/details/23156
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,23155,Changing Lives by Improved Cooking in Bangladesh,Bangladesh,https://registry.goldstandard.org/projects/details/23155
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,23154,Project Oasis,India,https://registry.goldstandard.org/projects/details/23154
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.,,23153,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 11),India,https://registry.goldstandard.org/projects/details/23153
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.1,,23152,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 10),India,https://registry.goldstandard.org/projects/details/23152
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,13199,Mezgilder Qushteri Wind Power Project,Kazakhstan,https://registry.goldstandard.org/projects/details/13199
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,13001,Sustainable Forestry in Gambella Ethiopia,Ethiopia,https://registry.goldstandard.org/projects/details/13001
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13180,GS12345 GS12354 RVPA-6 Safe Water Supply Kilifi County,Kenya,https://registry.goldstandard.org/projects/details/13180
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13178,GS12345 GS12354 RVPA-5 Safe Water Supply Kilifi County,Kenya,https://registry.goldstandard.org/projects/details/13178
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13177,GS12345 GS12354 RVPA-4 Safe Water Supply Kilifi County  ,Kenya,https://registry.goldstandard.org/projects/details/13177
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,13174,GS12345 GS12354 RVPA-1 Safe Water Supply Turkana County  ,Kenya,https://registry.goldstandard.org/projects/details/13174
