source_id,source_name,source_project_id,project_name,country,status,project_type,methodology_name,developer_or_supplier,estimated_annual_credits,project_url
gold_standard,Gold Standard,1248,GS2504 - Voluntary Gold Standard multi-country improved cookstove PoA - Oserian Flower Farm Offset Project 1 - Inkoirienito and Oltepesi,Kenya,Gold Standard Certified Project,Energy Efficiency - Domestic,GS TPDDTEC v 2.,South Pole Ltd,7109,https://registry.goldstandard.org/projects/details/1248
gold_standard,Gold Standard,1247,GS1247 Improved Kitchen Regimes Multi-Country PoA,Zimbabwe,Gold Standard Certified Design,Energy Efficiency - Domestic,,CO2balance UK ltd,0,https://registry.goldstandard.org/projects/details/1247
gold_standard,Gold Standard,1246,Energy Efficiency measures in DMRC Phase II stations,India,Gold Standard Certified Project,Energy Efficiency - Public Sector,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Delhi Metro Rail Corporation,7068,https://registry.goldstandard.org/projects/details/1246
gold_standard,Gold Standard,1244,Production of thermal energy from renewable biomass at Melhoramentos Papeis Ltda (CMPC group),Brazil,Gold Standard Certified Project,"Biomass, or Liquid Biofuel - Heat",AMS-I.C. Thermal energy production with or without electricity,myclimate Foundation,48554,https://registry.goldstandard.org/projects/details/1244
gold_standard,Gold Standard,1243,Sichuan Animal Farms GHG Mitigation Programme CPA Nb. SCAFBG-2011-01,China,Gold Standard Certified Design,Biogas - Electricity,AMS-III.D. Methane recovery in animal manure management systems,Chengdu Oasis Science & Technology Co Ltd,5474,https://registry.goldstandard.org/projects/details/1243
gold_standard,Gold Standard,1242,MUTLU 5 WPP,Turkey,Gold Standard Certified Project,Wind,,GTE KARBON SUSTAINABLE ENERJI EGITIM DANISMANLIK VE TICARET A.S.,115352,https://registry.goldstandard.org/projects/details/1242
gold_standard,Gold Standard,1241,Seferihisar 16MW Wind Power Plant,Turkey,Gold Standard Certified Design,Wind,ACM0002 Grid-connected electricity generation from renewable sources,FutureCamp Climate GmbH,27000,https://registry.goldstandard.org/projects/details/1241
gold_standard,Gold Standard,1240,UpEnergy Open Access Improved Cookstoves Program in Latin America- Nicaragua,Nicaragua,Listed,Energy Efficiency - Domestic,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,UpEnergy Group,37780,https://registry.goldstandard.org/projects/details/1240
gold_standard,Gold Standard,1239,Sichuan Rural Poor-Household Biogas Development Programme,China,Gold Standard Certified Design,Biogas - Heat,,Chengdu Oasis Science & Technology Co. Ltd,0,https://registry.goldstandard.org/projects/details/1239
gold_standard,Gold Standard,1238,Sichuan Animal Farms GHG Mitigation Programme,China,Gold Standard Certified Design,Biogas - Electricity,AMS-III.D. Methane recovery in animal manure management systems,Chengdu Oasis Science & Technology Co Ltd,0,https://registry.goldstandard.org/projects/details/1238
