source_id,source_name,document_id,document_title,document_category,document_type,file_format,document_url,source_url,related_entity,notes
jcm_mn,JCM Mongolia-Japan,jcm_mn:46:Rules and Guidelines,Rules and Guidelines,Project Cycle,Rules and Guidelines,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_RG_ver02.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
puro_earth,Puro Earth,puro_earth:recon:document_library,Document Library,"methodologies, methodology documents",source reconnaissance page,HTML,https://puro.earth/cdr-infrastructure/methodologies/document-library/,https://puro.earth/cdr-infrastructure/methodologies/document-library/,Puro Earth,No HTML tables found
puro_earth,Puro Earth,puro_earth:recon:registry_home,Registry Home,registry overview,source reconnaissance page,HTML,https://registry.puro.earth/,https://registry.puro.earth/,Puro Earth,No HTML tables found
puro_earth,Puro Earth,puro_earth:access_note:0:projects,Dynamic access note: projects,registry access notes,access note,CSV note,data\raw\puro_earth\projects.html,data\raw\puro_earth\projects.html,projects,saved snapshot scan
puro_earth,Puro Earth,puro_earth:access_note:1:issuances,Dynamic access note: issuances,registry access notes,access note,CSV note,data\raw\puro_earth\issuances.html,data\raw\puro_earth\issuances.html,issuances,saved snapshot scan
puro_earth,Puro Earth,puro_earth:access_note:2:projects,Dynamic access note: projects,registry access notes,access note,CSV note,https://registry.puro.earth/projects,https://registry.puro.earth/projects,projects,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:3:projects,Dynamic access note: projects,registry access notes,access note,CSV note,https://registry.puro.earth/projects?page=2,https://registry.puro.earth/projects?page=2,projects,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:4:projects,Dynamic access note: projects,registry access notes,access note,CSV note,https://registry.puro.earth/projects?page=2&limit=10,https://registry.puro.earth/projects?page=2&limit=10,projects,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:5:projects,Dynamic access note: projects,registry access notes,access note,CSV note,https://registry.puro.earth/projects?limit=100,https://registry.puro.earth/projects?limit=100,projects,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:6:issuances,Dynamic access note: issuances,registry access notes,access note,CSV note,https://registry.puro.earth/issuances,https://registry.puro.earth/issuances,issuances,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:7:issuances,Dynamic access note: issuances,registry access notes,access note,CSV note,https://registry.puro.earth/issuances?page=2,https://registry.puro.earth/issuances?page=2,issuances,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:8:issuances,Dynamic access note: issuances,registry access notes,access note,CSV note,https://registry.puro.earth/issuances?page=2&limit=10,https://registry.puro.earth/issuances?page=2&limit=10,issuances,query probe; did not expose more than first 10 table rows in static HTML
puro_earth,Puro Earth,puro_earth:access_note:9:issuances,Dynamic access note: issuances,registry access notes,access note,CSV note,https://registry.puro.earth/issuances?limit=100,https://registry.puro.earth/issuances?limit=100,issuances,query probe; did not expose more than first 10 table rows in static HTML
