source_id,source_name,methodology_id,methodology_code,methodology_name,status,version,approval_date,sectoral_scope,project_count,source_url,notes
gold_standard,Gold Standard,GS Alternative Ignition Coal Fires v1.,,GS Alternative Ignition Coal Fires v1.,,,,,13,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Baseline and Monitoring Methodology Biodigester v1.,,GS Baseline and Monitoring Methodology Biodigester v1.,,,,,8,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Biodiesel from Waste Oil or Fat v1.,,GS Biodiesel from Waste Oil or Fat v1.,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS MS Microscale Electrification and Energization v1.,,GS MS Microscale Electrification and Energization v1.,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.,,GS MS Simplified Methodology for Efficient Cookstoves v1.,,,,,92,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.1,,GS MS Simplified Methodology for Efficient Cookstoves v1.1,,,,,159,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,,,,,9,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,,,,,12,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,GS Methodology for emission reductions from safe drinking water supply,,,,,104,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,"GS PAA: Methodology for Metered & Measured Energy Cooking Devices, V2.0",,"GS PAA: Methodology for Metered & Measured Energy Cooking Devices, V2.0",,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Retrofit Energy Efficiency Measures in Shipping v1.,,GS Retrofit Energy Efficiency Measures in Shipping v1.,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Retrofit Energy Efficiency Measures in Shipping v2,,GS Retrofit Energy Efficiency Measures in Shipping v2,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Revised Methodology for Manure Management Systems and MSW v1.,,GS Revised Methodology for Manure Management Systems and MSW v1.,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS SS Ecologically Sound Fuel Switch to Biomass v1.,,GS SS Ecologically Sound Fuel Switch to Biomass v1.,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,,,,73,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS TPDDTEC v 1.,,GS TPDDTEC v 1.,,,,,269,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS TPDDTEC v 2.,,GS TPDDTEC v 2.,,,,,38,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS TPDDTEC v 3.,,GS TPDDTEC v 3.,,,,,2,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS TPDDTEC v3.1,,GS TPDDTEC v3.1,,,,,218,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,GS Water Access and WASH Methodology v1.,,GS Water Access and WASH Methodology v1.,,,,,8,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,,,,13,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Methodology for Metered & Measured Energy Cooking Devices,,Methodology for Metered & Measured Energy Cooking Devices,,,,,38,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,Methodology for animal waste management and biogas application,,,,,8,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Not provided,,Not provided,,,,,52,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Other,,Other,,,,,48,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,Soil Organic Carbon Framework Methodology,,Soil Organic Carbon Framework Methodology,,,,,3,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",,,,,9,,Distinct methodology labels from Gold Standard project export
puro_earth,Puro Earth,"Biochar, 2022",,"Biochar, 2022",,,,,80,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,Carbonated Materials,,Carbonated Materials,,,,,4,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,"Enhanced Rock Weathering, 2022",,"Enhanced Rock Weathering, 2022",,,,,5,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,Geologically stored carbon,,Geologically stored carbon,,,,,2,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,"Geologically stored carbon, 2024",,"Geologically stored carbon, 2024",,,,,1,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,Soil Amendment,,Soil Amendment,,,,,1,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,Terrestrial Storage of Biomass,,Terrestrial Storage of Biomass,,,,,8,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
puro_earth,Puro Earth,Wooden Building Elements,,Wooden Building Elements,,,,,14,https://registry.puro.earth/projects,Distinct methodology labels from Puro Earth registry projects
